id,link,name,price
107222187,https://kazan.hh.ru/vacancy/107222187?query=python%2C&hhtmFrom=vacancy_search_list,Python разработчик в финтех-гигант,
107397686,https://kazan.hh.ru/vacancy/107397686?query=python%2C&hhtmFrom=vacancy_search_list,Python developer (Senior),
107130931,https://kazan.hh.ru/vacancy/107130931?query=python%2C&hhtmFrom=vacancy_search_list,Программист Python,122 000 – 238 000 ₽ до вычета налогов
107022494,https://kazan.hh.ru/vacancy/107022494?query=python%2C&hhtmFrom=vacancy_search_list,Python разработчик,
106961161,https://kazan.hh.ru/vacancy/106961161?query=python%2C&hhtmFrom=vacancy_search_list,Разработчик Python,
96536278,https://kazan.hh.ru/vacancy/96536278?query=python%2C&hhtmFrom=vacancy_search_list,Python developer / Разработчик Python (KORNFELD),
106787116,https://kazan.hh.ru/vacancy/106787116?query=python%2C&hhtmFrom=vacancy_search_list,Python-программист (Python backend developer),от 100 000 ₽ до вычета налогов
106969149,https://kazan.hh.ru/vacancy/106969149?query=python%2C&hhtmFrom=vacancy_search_list,Разработчик в тестировании / SDET (Python),
106560811,https://kazan.hh.ru/vacancy/106560811?query=python%2C&hhtmFrom=vacancy_search_list,Middle Python Developer,
106490653,https://kazan.hh.ru/vacancy/106490653?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-тестировщик НТ Python,
107681841,https://kazan.hh.ru/vacancy/107681841?query=python%2C&hhtmFrom=vacancy_search_list,Аналитик,
107650780,https://kazan.hh.ru/vacancy/107650780?query=python%2C&hhtmFrom=vacancy_search_list,Tech Lead (ERP),
106648824,https://kazan.hh.ru/vacancy/106648824?query=python%2C&hhtmFrom=vacancy_search_list,Программист-разработчик,50 000 – 150 000 ₽ на руки
106954886,https://kazan.hh.ru/vacancy/106954886?query=python%2C&hhtmFrom=vacancy_search_list,"Преподаватель математики, информатики / физики",50 000 – 60 000 ₽ на руки
98960129,https://kazan.hh.ru/vacancy/98960129?query=python%2C&hhtmFrom=vacancy_search_list,Дата-инженер в платформу данных,
105958588,https://kazan.hh.ru/vacancy/105958588?query=python%2C&hhtmFrom=vacancy_search_list,Аналитик (системный аналитик),60 000 – 100 000 ₽ на руки
107685215,https://kazan.hh.ru/vacancy/107685215?query=python%2C&hhtmFrom=vacancy_search_list,Архитектор ML и AI проектов,
96205032,https://kazan.hh.ru/vacancy/96205032?query=python%2C&hhtmFrom=vacancy_search_list,Системный администратор ЦОД,
107342976,https://kazan.hh.ru/vacancy/107342976?query=python%2C&hhtmFrom=vacancy_search_list,Преподаватель IT-дисциплин,24 000 – 72 000 ₽ на руки
102865942,https://kazan.hh.ru/vacancy/102865942?query=python%2C&hhtmFrom=vacancy_search_list,Бизнес-аналитик BI,
107225882,https://kazan.hh.ru/vacancy/107225882?query=python%2C&hhtmFrom=vacancy_search_list,Преподаватель Компьютерной Академии,от 35 000 ₽ до вычета налогов
98959838,https://kazan.hh.ru/vacancy/98959838?query=python%2C&hhtmFrom=vacancy_search_list,Business Data Engineer,
98959957,https://kazan.hh.ru/vacancy/98959957?query=python%2C&hhtmFrom=vacancy_search_list,Системный аналитик DWH,
107571824,https://kazan.hh.ru/vacancy/107571824?query=python%2C&hhtmFrom=vacancy_search_list,Java-developer,
106745704,https://kazan.hh.ru/vacancy/106745704?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-программист АСУ,
107561442,https://kazan.hh.ru/vacancy/107561442?query=python%2C&hhtmFrom=vacancy_search_list,DevOps Engineer,
107455560,https://kazan.hh.ru/vacancy/107455560?query=python%2C&hhtmFrom=vacancy_search_list,ML-Engineer,
105704768,https://kazan.hh.ru/vacancy/105704768?query=python%2C&hhtmFrom=vacancy_search_list,Ведущий инженер-программист,от 50 400 ₽ на руки
107429216,https://kazan.hh.ru/vacancy/107429216?query=python%2C&hhtmFrom=vacancy_search_list,Руководитель направления по интегрированному моделированию (г. Тюмень),
103565872,https://kazan.hh.ru/vacancy/103565872?query=python%2C&hhtmFrom=vacancy_search_list,Программист-стажер,до 50 000 ₽ до вычета налогов
107343512,https://kazan.hh.ru/vacancy/107343512?query=python%2C&hhtmFrom=vacancy_search_list,Lead QA,
104434332,https://kazan.hh.ru/vacancy/104434332?query=python%2C&hhtmFrom=vacancy_search_list,Системный администратор,от 85 000 ₽ на руки
107366278,https://kazan.hh.ru/vacancy/107366278?query=python%2C&hhtmFrom=vacancy_search_list,Специалист технического отдела систем видеонаблюдения,85 000 – 90 000 ₽ на руки
93703318,https://kazan.hh.ru/vacancy/93703318?query=python%2C&hhtmFrom=vacancy_search_list,DevOps-инженер,от 92 900 ₽ на руки
107552125,https://kazan.hh.ru/vacancy/107552125?query=python%2C&hhtmFrom=vacancy_search_list,Ведущий инженер ПНР,от 90 000 ₽ на руки
106875966,https://kazan.hh.ru/vacancy/106875966?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-геофизик (инженерные изыскания),80 000 – 100 000 ₽ на руки
107270669,https://kazan.hh.ru/vacancy/107270669?query=python%2C&hhtmFrom=vacancy_search_list,"Преподаватель программирования для детей, Уфа (Черниковка)",
107307667,https://kazan.hh.ru/vacancy/107307667?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-программист,
105788844,https://kazan.hh.ru/vacancy/105788844?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-программист,от 100 000 ₽ до вычета налогов
99873419,https://kazan.hh.ru/vacancy/99873419?query=python%2C&hhtmFrom=vacancy_search_list,Руководитель группы разработки (Team Lead),
98556554,https://kazan.hh.ru/vacancy/98556554?query=python%2C&hhtmFrom=vacancy_search_list,Tech Lead,
106760216,https://kazan.hh.ru/vacancy/106760216?query=python%2C&hhtmFrom=vacancy_search_list,Преподаватель промо-курсов программирования для детей,40 000 – 60 000 ₽ на руки
107337871,https://kazan.hh.ru/vacancy/107337871?query=python%2C&hhtmFrom=vacancy_search_list,Младший техник-программист,до 90 000 ₽ до вычета налогов
107372586,https://kazan.hh.ru/vacancy/107372586?query=python%2C&hhtmFrom=vacancy_search_list,Архитектор проектов Ценообразования,
105288272,https://kazan.hh.ru/vacancy/105288272?query=python%2C&hhtmFrom=vacancy_search_list,Разработчик баз данных,
107147217,https://kazan.hh.ru/vacancy/107147217?query=python%2C&hhtmFrom=vacancy_search_list,Биоинформатик (старший научный сотрудник),110 000 – 120 000 ₽ до вычета налогов
107251461,https://kazan.hh.ru/vacancy/107251461?query=python%2C&hhtmFrom=vacancy_search_list,Программист С++,140 000 – 230 000 ₽ до вычета налогов
93300838,https://kazan.hh.ru/vacancy/93300838?query=python%2C&hhtmFrom=vacancy_search_list,Site Reliability Engineer (SRE),
106520201,https://kazan.hh.ru/vacancy/106520201?query=python%2C&hhtmFrom=vacancy_search_list,Специалист по МИС (медицинские информационные системы),от 35 000 ₽ на руки
107131291,https://kazan.hh.ru/vacancy/107131291?query=python%2C&hhtmFrom=vacancy_search_list,Инженер машинного зрения (computer vision),240 000 – 240 000 ₽ на руки
107222187,https://kazan.hh.ru/vacancy/107222187?query=python%2C&hhtmFrom=vacancy_search_list,Python разработчик в финтех-гигант,
107397686,https://kazan.hh.ru/vacancy/107397686?query=python%2C&hhtmFrom=vacancy_search_list,Python developer (Senior),
107130931,https://kazan.hh.ru/vacancy/107130931?query=python%2C&hhtmFrom=vacancy_search_list,Программист Python,122 000 – 238 000 ₽ до вычета налогов
107022494,https://kazan.hh.ru/vacancy/107022494?query=python%2C&hhtmFrom=vacancy_search_list,Python разработчик,
106961161,https://kazan.hh.ru/vacancy/106961161?query=python%2C&hhtmFrom=vacancy_search_list,Разработчик Python,
96536278,https://kazan.hh.ru/vacancy/96536278?query=python%2C&hhtmFrom=vacancy_search_list,Python developer / Разработчик Python (KORNFELD),
106787116,https://kazan.hh.ru/vacancy/106787116?query=python%2C&hhtmFrom=vacancy_search_list,Python-программист (Python backend developer),от 100 000 ₽ до вычета налогов
106969149,https://kazan.hh.ru/vacancy/106969149?query=python%2C&hhtmFrom=vacancy_search_list,Разработчик в тестировании / SDET (Python),
106560811,https://kazan.hh.ru/vacancy/106560811?query=python%2C&hhtmFrom=vacancy_search_list,Middle Python Developer,
106490653,https://kazan.hh.ru/vacancy/106490653?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-тестировщик НТ Python,
107681841,https://kazan.hh.ru/vacancy/107681841?query=python%2C&hhtmFrom=vacancy_search_list,Аналитик,
107650780,https://kazan.hh.ru/vacancy/107650780?query=python%2C&hhtmFrom=vacancy_search_list,Tech Lead (ERP),
106648824,https://kazan.hh.ru/vacancy/106648824?query=python%2C&hhtmFrom=vacancy_search_list,Программист-разработчик,50 000 – 150 000 ₽ на руки
106954886,https://kazan.hh.ru/vacancy/106954886?query=python%2C&hhtmFrom=vacancy_search_list,"Преподаватель математики, информатики / физики",50 000 – 60 000 ₽ на руки
98960129,https://kazan.hh.ru/vacancy/98960129?query=python%2C&hhtmFrom=vacancy_search_list,Дата-инженер в платформу данных,
105958588,https://kazan.hh.ru/vacancy/105958588?query=python%2C&hhtmFrom=vacancy_search_list,Аналитик (системный аналитик),60 000 – 100 000 ₽ на руки
107685215,https://kazan.hh.ru/vacancy/107685215?query=python%2C&hhtmFrom=vacancy_search_list,Архитектор ML и AI проектов,
96205032,https://kazan.hh.ru/vacancy/96205032?query=python%2C&hhtmFrom=vacancy_search_list,Системный администратор ЦОД,
107342976,https://kazan.hh.ru/vacancy/107342976?query=python%2C&hhtmFrom=vacancy_search_list,Преподаватель IT-дисциплин,24 000 – 72 000 ₽ на руки
102865942,https://kazan.hh.ru/vacancy/102865942?query=python%2C&hhtmFrom=vacancy_search_list,Бизнес-аналитик BI,
107225882,https://kazan.hh.ru/vacancy/107225882?query=python%2C&hhtmFrom=vacancy_search_list,Преподаватель Компьютерной Академии,от 35 000 ₽ до вычета налогов
98959838,https://kazan.hh.ru/vacancy/98959838?query=python%2C&hhtmFrom=vacancy_search_list,Business Data Engineer,
98959957,https://kazan.hh.ru/vacancy/98959957?query=python%2C&hhtmFrom=vacancy_search_list,Системный аналитик DWH,
107571824,https://kazan.hh.ru/vacancy/107571824?query=python%2C&hhtmFrom=vacancy_search_list,Java-developer,
106745704,https://kazan.hh.ru/vacancy/106745704?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-программист АСУ,
107561442,https://kazan.hh.ru/vacancy/107561442?query=python%2C&hhtmFrom=vacancy_search_list,DevOps Engineer,
107455560,https://kazan.hh.ru/vacancy/107455560?query=python%2C&hhtmFrom=vacancy_search_list,ML-Engineer,
105704768,https://kazan.hh.ru/vacancy/105704768?query=python%2C&hhtmFrom=vacancy_search_list,Ведущий инженер-программист,от 50 400 ₽ на руки
107429216,https://kazan.hh.ru/vacancy/107429216?query=python%2C&hhtmFrom=vacancy_search_list,Руководитель направления по интегрированному моделированию (г. Тюмень),
103565872,https://kazan.hh.ru/vacancy/103565872?query=python%2C&hhtmFrom=vacancy_search_list,Программист-стажер,до 50 000 ₽ до вычета налогов
107343512,https://kazan.hh.ru/vacancy/107343512?query=python%2C&hhtmFrom=vacancy_search_list,Lead QA,
104434332,https://kazan.hh.ru/vacancy/104434332?query=python%2C&hhtmFrom=vacancy_search_list,Системный администратор,от 85 000 ₽ на руки
107366278,https://kazan.hh.ru/vacancy/107366278?query=python%2C&hhtmFrom=vacancy_search_list,Специалист технического отдела систем видеонаблюдения,85 000 – 90 000 ₽ на руки
93703318,https://kazan.hh.ru/vacancy/93703318?query=python%2C&hhtmFrom=vacancy_search_list,DevOps-инженер,от 92 900 ₽ на руки
107552125,https://kazan.hh.ru/vacancy/107552125?query=python%2C&hhtmFrom=vacancy_search_list,Ведущий инженер ПНР,от 90 000 ₽ на руки
106875966,https://kazan.hh.ru/vacancy/106875966?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-геофизик (инженерные изыскания),80 000 – 100 000 ₽ на руки
107270669,https://kazan.hh.ru/vacancy/107270669?query=python%2C&hhtmFrom=vacancy_search_list,"Преподаватель программирования для детей, Уфа (Черниковка)",
107307667,https://kazan.hh.ru/vacancy/107307667?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-программист,
105788844,https://kazan.hh.ru/vacancy/105788844?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-программист,от 100 000 ₽ до вычета налогов
99873419,https://kazan.hh.ru/vacancy/99873419?query=python%2C&hhtmFrom=vacancy_search_list,Руководитель группы разработки (Team Lead),
98556554,https://kazan.hh.ru/vacancy/98556554?query=python%2C&hhtmFrom=vacancy_search_list,Tech Lead,
106760216,https://kazan.hh.ru/vacancy/106760216?query=python%2C&hhtmFrom=vacancy_search_list,Преподаватель промо-курсов программирования для детей,40 000 – 60 000 ₽ на руки
107337871,https://kazan.hh.ru/vacancy/107337871?query=python%2C&hhtmFrom=vacancy_search_list,Младший техник-программист,до 90 000 ₽ до вычета налогов
107372586,https://kazan.hh.ru/vacancy/107372586?query=python%2C&hhtmFrom=vacancy_search_list,Архитектор проектов Ценообразования,
105288272,https://kazan.hh.ru/vacancy/105288272?query=python%2C&hhtmFrom=vacancy_search_list,Разработчик баз данных,
107147217,https://kazan.hh.ru/vacancy/107147217?query=python%2C&hhtmFrom=vacancy_search_list,Биоинформатик (старший научный сотрудник),110 000 – 120 000 ₽ до вычета налогов
107251461,https://kazan.hh.ru/vacancy/107251461?query=python%2C&hhtmFrom=vacancy_search_list,Программист С++,140 000 – 230 000 ₽ до вычета налогов
93300838,https://kazan.hh.ru/vacancy/93300838?query=python%2C&hhtmFrom=vacancy_search_list,Site Reliability Engineer (SRE),
106520201,https://kazan.hh.ru/vacancy/106520201?query=python%2C&hhtmFrom=vacancy_search_list,Специалист по МИС (медицинские информационные системы),от 35 000 ₽ на руки
107131291,https://kazan.hh.ru/vacancy/107131291?query=python%2C&hhtmFrom=vacancy_search_list,Инженер машинного зрения (computer vision),240 000 – 240 000 ₽ на руки
